IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ENDANGERED,Number of endangered species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,6.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,12.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,20.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,6.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,12.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,174.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,6.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,18.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,26.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,6.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,ESP,Spain,NBR,Number,,,18.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,65.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,65.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,3.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,5.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,6.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,14.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,3.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,5.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,,,6.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,93.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,81.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,13.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,,,5.0,,
